Run;ReleaseDate;LoadDate;spots;bases;spots_with_mates;avgLength;size_MB;AssemblyName;download_path;Experiment;LibraryName;LibraryStrategy;LibrarySelection;LibrarySource;LibraryLayout;InsertSize;InsertDev;Platform;Model;SRAStudy;BioProject;Study_Pubmed_id;ProjectID;Sample;BioSample;SampleType;TaxID;ScientificName;SampleName;g1k_pop_code;source;g1k_analysis_group;Subject_ID;Sex;Disease;Tumor;Affection_Status;Analyte_Type;Histological_Type;Body_Site;CenterName;Submission;dbgap_study_accession;Consent;RunHash;ReadHash
SRR9178477;07.06.19 15:51;02.06.19 15:56;31333183;9409012460;31333183;300;3645;;https://sra-download.ncbi.nlm.nih.gov/traces/sra75/SRR/008963/SRR9178477;SRX5951126;HSD00-20a-267-S2C010-0150-151215;WGS;RANDOM;METAGENOMIC;PAIRED;0;0;ILLUMINA;NextSeq 500;SRP092796;PRJNA352737;2;352737;SRS4861546;SAMN11874507;simple;408172;marine metagenome;HSD00-20a-267-S2C010-0150;;;;;;;no;;;;;SCOPE;SRA893074;;public;4AB4B3AC7A547830159147269332071B;2513A84D75A73DCD34726D7798D58865
SRR9178486;07.06.19 15:51;02.06.19 15:34;3727316;1116564148;3727316;299;431;;https://sra-download.ncbi.nlm.nih.gov/traces/sra9/SRR/008963/SRR9178486;SRX5951117;HSD00-20a-267-S2C012-0200-151215;WGS;RANDOM;METAGENOMIC;PAIRED;0;0;ILLUMINA;NextSeq 500;SRP092796;PRJNA352737;2;352737;SRS4861726;SAMN11874509;simple;408172;marine metagenome;HSD00-20a-267-S2C012-0200;;;;;;;no;;;;;SCOPE;SRA893074;;public;CB299F7EC053F92E85D14440255E754B;F6A0618B1484A8590E2D7B4F61E2CBB3
SRR9178438;07.06.19 15:51;02.06.19 15:35;11525184;3448124701;11525184;299;1322;;https://sra-download.ncbi.nlm.nih.gov/traces/sra75/SRR/008963/SRR9178438;SRX5951165;HSD00-20a-268-S2C004-0005-151215;WGS;RANDOM;METAGENOMIC;PAIRED;0;0;ILLUMINA;NextSeq 500;SRP092796;PRJNA352737;2;352737;SRS4861767;SAMN11874513;simple;408172;marine metagenome;HSD00-20a-268-S2C004-0005;;;;;;;no;;;;;SCOPE;SRA893074;;public;3E7BAE42F800D63868EAFA7482BA07D3;F823A3143254839DBBB0BD769480098A
SRR9178405;07.06.19 15:51;02.06.19 15:31;7945511;2383542529;7945511;299;828;;https://sra-download.ncbi.nlm.nih.gov/traces/sra41/SRR/008963/SRR9178405;SRX5951198;HSD00-20a-268-S2C004-0025-151124;WGS;RANDOM;METAGENOMIC;PAIRED;0;0;ILLUMINA;NextSeq 500;SRP092796;PRJNA352737;2;352737;SRS4861618;SAMN11874514;simple;408172;marine metagenome;HSD00-20a-268-S2C004-0025;;;;;;;no;;;;;SCOPE;SRA893074;;public;297AC8DDECCC3CBA8C5C21EAD6922374;DCA1868D1B64356EB5E943486F4B4CC2
SRR9178502;07.06.19 15:51;02.06.19 15:49;35390039;10622995154;35390039;300;4675;;https://sra-download.ncbi.nlm.nih.gov/traces/sra14/SRR/008963/SRR9178502;SRX5951101;HSD00-20a-268-S2C004-0045-161208;WGS;RANDOM;METAGENOMIC;PAIRED;0;0;ILLUMINA;NextSeq 500;SRP092796;PRJNA352737;2;352737;SRS4861818;SAMN11874515;simple;408172;marine metagenome;HSD00-20a-268-S2C004-0045;;;;;;;no;;;;;SCOPE;SRA893074;;public;F049AFAFB8A316690997C31D017920EA;E221E328296400CFAB95D05575B611BB
SRR9178462;07.06.19 15:51;02.06.19 15:46;27176404;8153084867;27176404;300;3144;;https://sra-download.ncbi.nlm.nih.gov/traces/sra23/SRR/008963/SRR9178462;SRX5951141;HSD00-20a-268-S2C004-0075-151215;WGS;RANDOM;METAGENOMIC;PAIRED;0;0;ILLUMINA;NextSeq 500;SRP092796;PRJNA352737;2;352737;SRS4861796;SAMN11874516;simple;408172;marine metagenome;HSD00-20a-268-S2C004-0075;;;;;;;no;;;;;SCOPE;SRA893074;;public;F30F17890A51DAAB926FF8E5E11CDA39;E2B61125368CD02F23FDB8DD7A478DF4
SRR9178439;07.06.19 15:51;02.06.19 16:27;55282190;16595410495;55282190;300;7375;;https://sra-download.ncbi.nlm.nih.gov/traces/sra3/SRR/008963/SRR9178439;SRX5951164;HSD00-20a-268-S2C011-0200-161208;WGS;RANDOM;METAGENOMIC;PAIRED;0;0;ILLUMINA;NextSeq 500;SRP092796;PRJNA352737;2;352737;SRS4861861;SAMN11874522;simple;408172;marine metagenome;HSD00-20a-268-S2C011-0200;;;;;;;no;;;;;SCOPE;SRA893074;;public;399A785FF7B9667ECC6DF996897B5C88;AFF415AB708794E5A4612BB247200EDF
SRR9178480;07.06.19 15:51;02.06.19 16:05;40186063;12066471427;40186063;300;5365;;https://sra-download.ncbi.nlm.nih.gov/traces/sra75/SRR/008963/SRR9178480;SRX5951123;HSD00-20a-268-S2C011-0250-161208;WGS;RANDOM;METAGENOMIC;PAIRED;0;0;ILLUMINA;NextSeq 500;SRP092796;PRJNA352737;2;352737;SRS4861834;SAMN11874524;simple;408172;marine metagenome;HSD00-20a-268-S2C011-0250;;;;;;;no;;;;;SCOPE;SRA893074;;public;890C2079B0B1C7C8D901F3C242048D45;AB0C29C1E02503965C4517FE7EC6560C
SRR9178503;07.06.19 15:51;02.06.19 16:12;37347928;11120496271;37347928;297;5147;;https://sra-download.ncbi.nlm.nih.gov/traces/sra41/SRR/008963/SRR9178503;SRX5951100;HSD00-20a-269-S2C008-0125-160909;WGS;RANDOM;METAGENOMIC;PAIRED;0;0;ILLUMINA;NextSeq 500;SRP092796;PRJNA352737;2;352737;SRS4861798;SAMN11874530;simple;408172;marine metagenome;HSD00-20a-269-S2C008-0125;;;;;;;no;;;;;SCOPE;SRA893074;;public;4ED8CE493D5A7C95FEA620BB608D798A;5E77849DA603ADDA25E9A235D10BDA6C
SRR9178495;07.06.19 15:51;02.06.19 16:04;40003145;11946427338;40003145;298;5561;;https://sra-download.ncbi.nlm.nih.gov/traces/sra70/SRR/008963/SRR9178495;SRX5951108;HSD00-20a-269-S2C008-0175-160909;WGS;RANDOM;METAGENOMIC;PAIRED;0;0;ILLUMINA;NextSeq 500;SRP092796;PRJNA352737;2;352737;SRS4861663;SAMN11874532;simple;408172;marine metagenome;HSD00-20a-269-S2C008-0175;;;;;;;no;;;;;SCOPE;SRA893074;;public;889DA3F50FFE17685DC98F49E5A80D10;A81D3A3E94123D9C54A904134E408A71
SRR9178498;07.06.19 15:51;02.06.19 16:09;40296119;11907914949;40296119;295;5521;;https://sra-download.ncbi.nlm.nih.gov/traces/sra38/SRR/008963/SRR9178498;SRX5951105;HSD00-20a-269-S2C010-0200-160909;WGS;RANDOM;METAGENOMIC;PAIRED;0;0;ILLUMINA;NextSeq 500;SRP092796;PRJNA352737;2;352737;SRS4861696;SAMN11874533;simple;408172;marine metagenome;HSD00-20a-269-S2C010-0200;;;;;;;no;;;;;SCOPE;SRA893074;;public;2670D9765AE5D7DABBF1C63A1BD1BBDB;A407D2F6D27F4EEAC2AC127DDF47F5EE
SRR9178499;07.06.19 15:51;02.06.19 16:11;45674498;13625905799;45674498;298;6318;;https://sra-download.ncbi.nlm.nih.gov/traces/sra73/SRR/008963/SRR9178499;SRX5951104;HSD00-20a-269-S2C012-0500-160909;WGS;RANDOM;METAGENOMIC;PAIRED;0;0;ILLUMINA;NextSeq 500;SRP092796;PRJNA352737;2;352737;SRS4861698;SAMN11874536;simple;408172;marine metagenome;HSD00-20a-269-S2C012-0500;;;;;;;no;;;;;SCOPE;SRA893074;;public;270C4537695E49930A0D897560ED791A;9B442B2353310EB84A542F7BBE207121
SRR9178465;07.06.19 15:51;02.06.19 16:18;48835891;14656402247;48835891;300;6576;;https://sra-download.ncbi.nlm.nih.gov/traces/sra34/SRR/008963/SRR9178465;SRX5951138;HSD00-20a-270-S2C009-0100-161122;WGS;RANDOM;METAGENOMIC;PAIRED;0;0;ILLUMINA;NextSeq 500;SRP092796;PRJNA352737;2;352737;SRS4861672;SAMN11874541;simple;408172;marine metagenome;HSD00-20a-270-S2C009-0100;;;;;;;no;;;;;SCOPE;SRA893074;;public;E4B8729706C87C2BD6DD27DAE4BD0CDD;5678642D9EA6A0367421C59AD9897D31
SRR9178437;07.06.19 15:51;02.06.19 15:53;45673719;13697563615;45673719;299;6374;;https://sra-download.ncbi.nlm.nih.gov/traces/sra31/SRR/008963/SRR9178437;SRX5951166;HSD00-20a-270-S2C009-0125-161020;WGS;RANDOM;METAGENOMIC;PAIRED;0;0;ILLUMINA;NextSeq 500;SRP092796;PRJNA352737;2;352737;SRS4861822;SAMN11874542;simple;408172;marine metagenome;HSD00-20a-270-S2C009-0125;;;;;;;no;;;;;SCOPE;SRA893074;;public;A068B5A7458C4704A2DB3E5A492D4CAD;E37159075224ED2F606BEFB545B58521
SRR9178493;07.06.19 15:51;02.06.19 15:59;38830029;11639887482;38830029;299;5324;;https://sra-download.ncbi.nlm.nih.gov/traces/sra59/SRR/008963/SRR9178493;SRX5951110;HSD00-20a-270-S2C009-0125-161122;WGS;RANDOM;METAGENOMIC;PAIRED;0;0;ILLUMINA;NextSeq 500;SRP092796;PRJNA352737;2;352737;SRS4861822;SAMN11874542;simple;408172;marine metagenome;HSD00-20a-270-S2C009-0125;;;;;;;no;;;;;SCOPE;SRA893074;;public;FEB1397F1FA328B469484CAE2A1B27FF;54F96DABA8DFFF42DE6A2B055F1BF738
SRR9178406;07.06.19 15:51;02.06.19 16:10;53344239;16011210653;53344239;300;7221;;https://sra-download.ncbi.nlm.nih.gov/traces/sra41/SRR/008963/SRR9178406;SRX5951197;HSD00-20a-270-S2C009-0150-161122;WGS;RANDOM;METAGENOMIC;PAIRED;0;0;ILLUMINA;NextSeq 500;SRP092796;PRJNA352737;2;352737;SRS4861860;SAMN11874543;simple;408172;marine metagenome;HSD00-20a-270-S2C009-0150;;;;;;;no;;;;;SCOPE;SRA893074;;public;93867ED4EF3F8EB2DB2AF17E5D8D17D6;013F97BE62756824E19FB3D0224D2EA1
